        0.10     58.6123     12.5662526752679202
        0.15    104.1300      1.1148073932552132
        0.20    102.1288      0.9530603107524335
        0.25    101.1852      0.8333464439880237
        0.30    100.5467      0.7355632524845837
        0.35    100.2762      0.6502620959121477
        0.40     99.8518      0.5763111636557826
        0.45     99.7252      0.5091900486371652
        0.50     99.3473      0.4472163882104216
        0.55     99.0933      0.3905022948470839
        0.60     98.7756      0.3368025778514417
        0.65     98.0764      0.2877198554336254
        0.70     97.9801      0.2406105792282771
        0.75     97.7647      0.1955184646504629
        0.80     97.1379      0.1529744106097539
        0.85     96.7160      0.1124299823328593
        0.90     95.3800      0.0733925174600731
        0.95     91.9641      0.0358558549465110
        1.00      0.0000      0.0000000000000000
